,Car_Model,Configuration,Type,Discounted_Price,Location
128,2016 Hyundai Creta,"1,02,816 KM
1ST OWNER
PETROL
KA-53",SX PLUS 1.6 PETROLManual,"₹9,16,000
₹9,44,000","Bellahalli, Bengaluru"
129,2018 Mahindra KUV 100 NXT,"46,456 KM
1ST OWNER
PETROL
KA-03",K8 P 6 STRManual,"₹6,03,000
₹6,11,000","Bellahalli, Bengaluru"
130,2020 Tata NEXON,"34,437 KM
1ST OWNER
PETROL
KA-05",XZA PLUS PETROLAutomatic,"₹10,03,000
₹10,33,000","Garuda Mall, Magrath Road, Bengaluru"
131,2018 Ford Ecosport,"94,035 KM
2ND OWNER
PETROL
KA-01",TITANIUM 1.0L ECOBOOST SPORTS(SUNROOF)Manual,"₹8,11,000
₹8,67,000","Horamavu Agara Road, Bengaluru"
132,2016 Hyundai Creta,"53,031 KM
2ND OWNER
PETROL
KA-05",SX PLUS 1.6 PETROLManual,"₹9,39,000
₹9,73,000","Garuda Mall, Magrath Road, Bengaluru"
133,2022 Toyota URBAN CRUISER,"9,428 KM
1ST OWNER
PETROL
KA-09",PREMIUM GRADE ATAutomatic,"₹12,05,000
₹12,66,000","Garuda Mall, Magrath Road, Bengaluru"
134,2017 Hyundai Creta,"42,757 KM
2ND OWNER
PETROL
KA-01",SX PLUS 1.6 PETROLManual,"₹9,95,000
₹10,45,000","Garuda Mall, Magrath Road, Bengaluru"
135,2017 Honda WR-V,"1,10,630 KM
1ST OWNER
PETROL
KA-02",1.2L I-VTEC VX MTManual,"₹7,17,000
₹7,94,000","GT World Mall, Bengaluru"
136,2020 Renault Duster,"95,678 KM
1ST OWNER
PETROL
KA-32",RXZ 1.3 TURBO PETROL MTManual,"₹9,09,000
₹10,56,000","Bellahalli, Bengaluru"
137,2017 Maruti Vitara Brezza,"86,210 KM
1ST OWNER
DIESEL
KA-02",ZDIManual,"₹8,26,000
₹8,69,000","Horamavu Agara Road, Bengaluru"
138,2020 Tata NEXON,"19,549 KM
1ST OWNER
PETROL
KA-53",XZA PLUS PETROL DUAL TONEAutomatic,"₹11,07,000
₹11,76,000","Garuda Mall, Magrath Road, Bengaluru"
139,2017 Ford Ecosport,"53,917 KM
1ST OWNER
PETROL
KA-51",TREND 1.5L PETROLManual,"₹6,44,000
₹7,19,000","Garuda Mall, Magrath Road, Bengaluru"
140,2018 Ford FREESTYLE,"58,710 KM
1ST OWNER
PETROL
KA-05",TITANIUM 1.2 PETROLManual,"₹5,74,000
₹6,76,000","GT World Mall, Bengaluru"
141,2018 Tata NEXON,"82,449 KM
1ST OWNER
DIESEL
KA-19",XZA PLUS DIESELAutomatic,"₹8,55,000","Bellahalli, Bengaluru"
142,2017 Hyundai Creta,"1,00,226 KM
2ND OWNER
PETROL
KA-51",SX PLUS AT 1.6 PETROLAutomatic,"₹10,05,000
₹10,32,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
143,2017 Honda WR-V,"26,158 KM
1ST OWNER
PETROL
KA-03",1.2L I-VTEC VX MTManual,"₹8,05,000
₹8,47,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
144,2016 Hyundai Creta,"81,853 KM
2ND OWNER
PETROL
KA-01",SX PLUS 1.6 PETROLManual,"₹8,83,000
₹9,29,000","Bellahalli, Bengaluru"
